# https://api.weather.gov/alerts/types,,,,
# https://www.weather.gov/help-map,,,,
Hazard / Weather Event,Priority,Color Name,RGB Color,Hex Code
Coastal Flood Watch,104,Mediumaquamarine,102 205 170,66CDAA
Lakeshore Flood Watch,105,Mediumaquamarine,102 205 170,66CDAA
Flood Watch,106,Seagreen,46 139 87,2E8B57
High Wind Watch,107,Darkgoldenrod,184 134 11,B8860B
Excessive Heat Watch,108,Maroon,128 0 0,800000
Extreme Cold Watch,109,Blue,0 0 255,0000FF
Wind Chill Watch,110,Cadetblue,95 158 160,5F9EA0
Lake Effect Snow Watch,111,Lightskyblue,135 206 250,87CEFA
Hard Freeze Watch,112,Royalblue,65 105 225,41690
Freeze Watch,113,Cyan,0 255 255,00FFFF
Fire Weather Watch,114,Navajowhite,255 222 173,FFDEAD
Extreme Fire Danger,115,Darksalmon,233 150 122,E9967A
911 Telephone Outage,116,Silver,192 192 192,C0C0C0
Coastal Flood Statement,117,Olivedrab,107 142 35,6B8E23
Lakeshore Flood Statement,118,Olivedrab,107 142 35,6B8E23
Special Weather Statement,119,Moccasin,255 228 181,FFE4B5
Marine Weather Statement,120,Peachpuff,255 239 213,FFDAB9
Air Quality Alert,121,Gray,128 128 128,808080
Air Stagnation Advisory,122,Gray,128 128 128,808080
Hazardous Weather Outlook,123,Palegoldenrod,238 232 170,EEE8AA
Hydrologic Outlook,124,Lightgreen,144 238 144,90EE90
Short Term Forecast,125,Palegreen,152 251 152,98FB98
Administrative Message,126,Silver,192 192 192,C0C0C0
Test Message,127,Azure,240 255 255,F0FFFF
Child Abduction Emergency,128,Transperant,255 255 255,FFFFFF
Blue Alert,129,Transperant,255 255 255,FFFFFF
